Id,label
20001,2
20002,4
20003,4
20004,4
20005,4
20006,4
20007,4
20008,3
20009,5
20010,5
20011,4
20012,4
20013,5
20014,3
20015,5
20016,2
20017,5
20018,4
20019,5
20020,5
20021,4
20022,5
20023,4
20024,4
20025,5
20026,4
20027,4
20028,2
20029,4
20030,3
20031,5
20032,3
20033,3
20034,5
20035,3
20036,5
20037,3
20038,5
20039,2
20040,2
20041,4
20042,3
20043,4
20044,5
20045,4
20046,3
20047,5
20048,5
20049,4
20050,4
20051,4
20052,4
20053,4
20054,5
20055,4
20056,3
20057,4
20058,4
20059,4
20060,5
20061,4
20062,4
20063,4
20064,3
20065,4
20066,4
20067,5
20068,5
20069,5
20070,4
20071,3
20072,5
20073,5
20074,4
20075,4
20076,3
20077,5
20078,5
20079,4
20080,4
20081,4
20082,4
20083,4
20084,5
20085,5
20086,5
20087,4
20088,4
20089,4
20090,4
20091,5
20092,4
20093,2
20094,3
20095,4
20096,4
20097,3
20098,5
20099,4
20100,4
20101,4
20102,4
20103,2
20104,4
20105,5
20106,4
20107,4
20108,5
20109,5
20110,5
20111,3
20112,4
20113,5
20114,5
20115,4
20116,5
20117,5
20118,2
20119,5
20120,2
20121,5
20122,5
20123,4
20124,4
20125,2
20126,4
20127,4
20128,5
20129,5
20130,4
20131,2
20132,5
20133,4
20134,5
20135,4
20136,4
20137,4
20138,4
20139,4
20140,5
20141,3
20142,3
20143,4
20144,4
20145,4
20146,4
20147,4
20148,4
20149,3
20150,5
20151,5
20152,4
20153,4
20154,3
20155,5
20156,5
20157,4
20158,2
20159,4
20160,4
20161,3
20162,4
20163,4
20164,5
20165,5
20166,5
20167,4
20168,4
20169,4
20170,5
20171,4
20172,3
20173,4
20174,5
20175,4
20176,5
20177,4
20178,3
20179,5
20180,5
20181,5
20182,4
20183,5
20184,4
20185,4
20186,4
20187,4
20188,3
20189,5
20190,5
20191,5
20192,5
20193,5
20194,4
20195,5
20196,4
20197,4
20198,5
20199,4
20200,3
20201,5
20202,5
20203,2
20204,4
20205,4
20206,5
20207,4
20208,5
20209,4
20210,4
20211,4
20212,4
20213,4
20214,5
20215,4
20216,2
20217,5
20218,5
20219,4
20220,5
20221,5
20222,5
20223,4
20224,4
20225,5
20226,4
20227,3
20228,3
20229,4
20230,5
20231,4
20232,5
20233,4
20234,5
20235,4
20236,3
20237,5
20238,4
20239,4
20240,5
20241,5
20242,5
20243,5
20244,3
20245,4
20246,3
20247,3
20248,2
20249,4
20250,5
20251,4
